Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W]
Advantix S.p.A.,i-SHWAK V4 06,35,7,2.91,1.0,5070.0,1742.2680412371133
Advantix S.p.A.,i-SHWAK V4 06,30,7,4.04,1.0,3740.0,925.7425742574258
Advantix S.p.A.,i-SHWAK V4 06,25,7,4.09,1.0,3400.0,831.2958435207825
Advantix S.p.A.,i-SHWAK V4 06,20,7,4.92,1.0,3680.0,747.9674796747968
Advantix S.p.A.,i-SHWAK V4 08,35,7,2.9,1.0,6120.0,2110.344827586207
Advantix S.p.A.,i-SHWAK V4 08,30,7,3.88,1.0,4510.0,1162.3711340206187
Advantix S.p.A.,i-SHWAK V4 08,25,7,4.09,1.0,3400.0,831.2958435207825
Advantix S.p.A.,i-SHWAK V4 08,20,7,4.92,1.0,3680.0,747.9674796747968
Advantix S.p.A.,i-SHWAK V4 10,35,7,3.11,1.0,7560.0,2430.8681672025723
Advantix S.p.A.,i-SHWAK V4 10,30,7,4.48,1.0,5570.0,1243.3035714285713
Advantix S.p.A.,i-SHWAK V4 10,25,7,5.89,1.0,5420.0,920.2037351443124
Advantix S.p.A.,i-SHWAK V4 10,20,7,6.59,1.0,5730.0,869.4992412746586
Advantix S.p.A.,i-SHWAK V4 12,35,7,3.1,1.0,8490.0,2738.7096774193546
Advantix S.p.A.,i-SHWAK V4 12,30,7,4.48,1.0,6260.0,1397.3214285714284
Advantix S.p.A.,i-SHWAK V4 12,25,7,5.89,1.0,5420.0,920.2037351443124
Advantix S.p.A.,i-SHWAK V4 12,20,7,6.59,1.0,5730.0,869.4992412746586
Advantix S.p.A.,i-SHWAK V4 14,35,7,3.1,1.0,11460.0,3696.774193548387
Advantix S.p.A.,i-SHWAK V4 14,30,7,4.48,1.0,8440.0,1883.9285714285713
Advantix S.p.A.,i-SHWAK V4 14,25,7,5.89,1.0,5420.0,920.2037351443124
Advantix S.p.A.,i-SHWAK V4 14,20,7,6.59,1.0,5730.0,869.4992412746586
Advantix S.p.A.,i-SHWAK V4 16,35,7,3.24,1.0,14650.0,4521.604938271605
Advantix S.p.A.,i-SHWAK V4 16,30,7,4.71,1.0,10790.0,2290.870488322718
Advantix S.p.A.,i-SHWAK V4 16,25,7,5.81,1.0,6930.0,1192.7710843373495
Advantix S.p.A.,i-SHWAK V4 16,20,7,6.28,1.0,7030.0,1119.4267515923566
DAIKIN Europe N.V.,EBLA11D(3)V3,35,7,3.26,1.0,11600.0,3558.2822085889575
DAIKIN Europe N.V.,EBLA11D(3)V3,30,7,4.75,1.0,8800.0,1852.6315789473683
DAIKIN Europe N.V.,EBLA11D(3)V3,25,7,6.91,1.0,5700.0,824.8914616497829
DAIKIN Europe N.V.,EBLA11D(3)V3,20,7,8.45,1.0,5800.0,686.3905325443787
DAIKIN Europe N.V.,EBLA14D(3)V3,35,7,3.16,1.0,12800.0,4050.632911392405
DAIKIN Europe N.V.,EBLA14D(3)V3,30,7,4.57,1.0,9900.0,2166.3019693654264
DAIKIN Europe N.V.,EBLA14D(3)V3,25,7,6.8,1.0,6200.0,911.7647058823529
DAIKIN Europe N.V.,EBLA14D(3)V3,20,7,8.42,1.0,5800.0,688.8361045130641
DAIKIN Europe N.V.,EBLA16D(3)V3,35,7,3.06,1.0,14000.0,4575.16339869281
DAIKIN Europe N.V.,EBLA16D(3)V3,30,7,4.41,1.0,10800.0,2448.9795918367345
