Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W],Pdc_n,P_el_c_n
Advantix S.p.A.,i-SHWAK V4 06,35,7,2.91,1.0,5070.0,1742.2680412371133,1.0,1.0
Advantix S.p.A.,i-SHWAK V4 06,30,7,4.04,1.0,3740.0,925.7425742574258,0.73767258382643,0.5313433710234929
Advantix S.p.A.,i-SHWAK V4 06,25,7,4.09,1.0,3400.0,831.2958435207825,0.6706114398422091,0.477134300719029
Advantix S.p.A.,i-SHWAK V4 06,20,7,4.92,1.0,3680.0,747.9674796747968,0.7258382642998028,0.4293067782748834
Advantix S.p.A.,i-SHWAK V4 06,35,18,3.5211,1.0,5214.495,1480.9278350515463,1.0285,0.85
Advantix S.p.A.,i-SHWAK V4 06,30,18,4.8884,1.0,3710.8279999999995,759.1089108910891,0.7319187376725838,0.43570156423926415
Advantix S.p.A.,i-SHWAK V4 06,25,18,4.9079999999999995,1.0,3141.6,640.0977995110024,0.6196449704142012,0.36739341155365235
Advantix S.p.A.,i-SHWAK V4 06,20,18,4.6739999999999995,1.0,2202.48,471.219512195122,0.43441420118343194,0.2704632703131765
Advantix S.p.A.,i-SHWAK V4 08,35,7,2.9,1.0,6120.0,2110.344827586207,1.0,1.0
Advantix S.p.A.,i-SHWAK V4 08,30,7,3.88,1.0,4510.0,1162.371134020619,0.7369281045751634,0.5507967791927769
Advantix S.p.A.,i-SHWAK V4 08,25,7,4.09,1.0,3400.0,831.2958435207825,0.5555555555555556,0.3939146970931812
Advantix S.p.A.,i-SHWAK V4 08,20,7,4.92,1.0,3680.0,747.9674796747968,0.6013071895424836,0.3544290344864233
Advantix S.p.A.,i-SHWAK V4 08,35,18,3.509,1.0,6294.42,1793.7931034482758,1.0285,0.85
Advantix S.p.A.,i-SHWAK V4 08,30,18,4.6948,1.0,4474.822000000001,953.1443298969075,0.7311800653594773,0.45165335893807707
Advantix S.p.A.,i-SHWAK V4 08,25,18,4.9079999999999995,1.0,3141.6,640.0977995110024,0.5133333333333333,0.3033143167617495
