Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,P_el_c_ref [W],P_th_c_ref [W],p1_P_th,p2_P_th,p3_P_th,p4_P_th,p5_P_th,p6_P_th,p1_P_el_h,p2_P_el_h,p3_P_el_h,p4_P_el_h,p5_P_el_h,p6_P_el_h,p1_COP,p2_COP,p3_COP,p4_COP,p5_COP,p6_COP,MAPE_P_el_h,MAPE_COP,MAPE_P_th,p1_Pdc,p2_Pdc,p3_Pdc,p4_Pdc,p5_Pdc,p6_Pdc,p1_P_el_c,p2_P_el_c,p3_P_el_c,p4_P_el_c,p5_P_el_c,p6_P_el_c,p1_EER,p2_EER,p3_EER,p4_EER,p5_EER,p6_EER,MAPE_P_el_cooling,MAPE_EER,MAPE_Pdc
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.68,35.0,64.0,11,average,2866,4500,1.57,1742.2680412371133,5070.0,-838.4825200738762,1118.0314645539845,425.0785220762595,-463.9068065358684,-288.915344690695,44.10328481493514,-326.8536825923622,428.5698077697589,177.27217835589977,-243.64811698475023,-80.58083812634868,43.963416863584136,-31898.47854017166,34541.06024963448,24667.39882779989,-14192.870963567624,-8954.682270952895,-4319.995249034662,9.17136040123659,0.7242119423263691,4.399358475870685,-30957.0245890739,-0.1998623614925614,6142.904016051835,0.0007224224472724,-245.7170617554581,0.0037957376704479,-30954.673899846886,-0.401414191711644,6142.954679264964,-0.0003659919187406,-245.7181787472051,0.007604378415328,-30973.41367772891,1.351786363631898,6142.647445881768,-0.0018809090929541,-245.7008801383034,-0.024277000002203,755.9429882636716,8.139637799055958,888.2397847030904
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.2,35.0,64.0,11,average,2907,5000,1.72,2110.344827586207,6120.0,-1518.3347328941582,1910.2019241478788,881.6737255688151,-752.747938175287,-509.0373540003183,-20.24473629258838,260.75482142959106,-143.44864759807825,-351.6526643909195,23.88652641773513,53.70705122062567,157.81172548481803,-33453.43876846392,36038.866760708166,26080.04301041309,-14885.505986369932,-9308.77856128734,-4635.09668637948,8.742654877584002,1.4722499550058672,4.275592179746592,-30959.1488817578,-0.0567595900253505,6142.865547847662,0.0006429292909171,-245.7154170293773,0.0016117254880357,-30956.70248774339,-0.2610087364768099,6142.918941752964,-0.0005399965445491,-245.7165214849373,0.0054232873738254,-30967.90089117984,0.9398599999941966,6142.749283435165,-0.0019000000020801,-245.7049740040756,-0.0174260000021773,898.13750721808,5.352147971014736,1042.2044215355236
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,64.0,11,average,3333,5500,1.65,2430.8681672025723,7560.0,1410.2761301531475,-1281.1190038246452,-1360.7175834671382,544.7017485399059,323.15441150928194,370.62953375029474,-1037.183868958121,1218.1969513656395,702.2960539783368,-541.1638219344061,-296.7224718756659,-50.66533272184818,10912.914570856292,-11419.14481069023,-8903.407552231522,4579.386061350484,2999.269747016998,1891.302318801944,8.13416622855159,0.7096063616514756,5.223328300398835,-30956.13112121962,-0.2603417171799738,6142.920210743787,0.0007544252023935,-245.7177522049663,0.0047227936486631,-30955.82846446548,-0.3288303721318346,6142.935518379645,-0.0005721239417602,-245.7171331319585,0.0065830049593091,-30948.7554712584,-0.2622972727350183,6143.135748205452,-0.0047718181838782,-245.7163438676144,0.0002949999978439,1503.1044307491763,6.396649650617871,1923.18671871344
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,65.0,11,average,3350,6700,2.0,2738.709677419354,8490.0,-8346.967713765014,9206.34103928935,6275.08510264601,-3762.808856989173,-2393.915224985746,-1020.4073000231438,-3555.083282180411,3996.588996586072,2590.839290817592,-1648.515371956045,-1031.3677711365583,-371.077232403152,6650.638988388773,-7388.067082155265,-4930.137053667808,2761.608914657765,2024.4450846834764,924.8043604929928,3.0929693914116925,2.058416711082434,2.231931415992295,-30957.61532708263,-0.160097934476415,6142.893320138641,0.0007001659686108,-245.7166042404625,0.0031892826833699,-30956.53990504861,-0.2815010764226335,6142.923292605062,-0.000661092985033,-245.7165252021509,0.0058754804392396,-30948.911297336937,-0.2499036363718947,6143.133025638063,-0.004790909092996,-245.7162146012824,7.399999786283917e-05,1659.1174407071903,6.364787129827715,2105.35456740486
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.4,40.0,68.0,11,average,5167,9300,1.8,3696.774193548387,11460.0,-2801.436162574064,3211.3317216029936,1978.768158344028,-1347.7893772564637,-820.1961573550055,-234.7008122764441,-1124.177433947669,1325.2123329744545,756.8937369883647,-586.6156397530347,-323.941802304906,-53.08791500228444,-11695.238682059316,13008.955431492144,8655.885931017037,-5582.553066879445,-3274.2080425514864,-1166.9354210604097,3.5864686934252106,8.512789517959103,6.946471054731141,31025.861054356337,0.0461771584994724,-6156.078327443597,0.000585855939287,246.24241408436183,4.044851437845498e-05,-30958.053074401585,-0.1803463471944473,6142.897210713818,-0.0008431657460226,-245.7152390324764,0.0043559405691895,-30948.911297336937,-0.2499036363718947,6143.133025638063,-0.004790909092996,-245.7162146012824,7.399999786283917e-05,2146.920692867352,6.364787129827715,2679.3110723984155
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.6,40.0,68.0,11,average,5515,9100,1.65,4521.604938271605,14650.0,1682.8197269398356,-1512.0563914535037,-1646.708927781355,663.8219267254021,373.2424067648828,446.3480916247685,829.5255521309084,-754.640211804364,-797.9310101759006,277.14682792834867,211.3076826887348,238.44398253146105,-26842.19299755244,28941.32613423348,20893.6452234376,-11994.84041239446,-7459.538063493628,-3668.469829214872,6.711493354073502,3.74640785131516,4.051772731844363,31025.86129462464,0.0461715240496366,-6156.078323641632,0.0005859168454042,246.2424138506584,4.0388393685697466e-05,-30957.70542938576,-0.2043205699576669,6142.903321081411,-0.0008120676334182,-245.71552426456728,0.0047270944848173,-30956.52860153951,0.2991272727214412,6142.988774571948,-0.0043781818202122,-245.7108650434864,-0.0087580000021934,1944.062806666601,4.445953520839295,2350.680594554867
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,43.0,61.0,15,average,2655,5310,2.0,,,-15.525293187628073,32.27801349233852,8.912073685824135,-12.487579079766189,-8.909952032375445,-3.657118811124782,-69.3133800966065,165.7277817809104,-39.81732701620344,-98.40348787189752,-28.39249276036317,69.72657257513555,27416.852819330903,-29584.118838657443,-21321.108455486145,11740.649742226353,7832.744153598001,4065.183245521823,1.7493226846141063,2.187396055490685,0.0330230094050341,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,39.0,61.0,15,average,2029,4260,2.1,,,3130.149068012866,-3251.415145918179,-2570.831909010643,1374.681161471857,826.3763917357822,506.4129588743014,1131.8508899534302,-1146.7916908481982,-961.50503652333,445.5204456216523,310.47528980739384,225.8696814658439,10300.047531891016,-11275.70354698952,-7813.067211452168,4356.332701760772,3029.7436281219784,1465.4550258847432,2.844662000375753,1.784041195492004,3.806878439775935,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.55,39.0,62.0,15,average,2474,5170,2.09,,,98.76926177345484,-67.10914451287158,-107.58181608609434,18.7266422116816,21.03776585599945,37.298719492385096,-603.1586559673176,722.6560915547296,395.95678353713305,-338.5790140325505,-167.5941970281286,-12.31765736856808,19060.41511231678,-21212.60758230981,-14079.931714973864,8307.21283845324,5660.204583079109,2376.134740957408,2.1530755188927424,5.13699378484571,1.2787129679722036,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.65,43.0,63.0,14,average,3470,7010,2.02,,,-166.34255211992806,199.2809967385259,124.3136309427358,-79.11392064598263,-53.57237702650189,-24.574191316940684,-365.0876099084591,486.67484794544055,189.1916851212068,-227.5441571866117,-112.91662940512828,27.74616125377298,40988.19103427594,-44471.57140591552,-31592.9635133422,17852.158110128865,11690.833361875231,5754.134975573647,0.6325201259444331,3.4851040702984166,0.1959532561686674,,,,,,,,,,,,,,,,,,,,,
